block,perm_importance
roll3_log,0.26856928922044754
l1_log,0.13187381495713044
ln_gdp_o,0.02749398616031336
zero_streak,0.012878335092457801
ln_pop_o,0.0071563113728302
ln_gdp_d,0.00696289156054497
hs6 (one-hot block),0.005820761626893452
ln_pop_d,0.004254017036104951
exporter (one-hot block),0.003919163886115388
l2_log,0.0038654022551858716
ln_dist,0.003379134852190102
comrelig,0.00038146683115865737
destination (one-hot block),0.00024602941277559093
comlang_off,0.0001593871944337577
rta,0.00010897630430872773
contig,5.677840465027432e-05
gdp_o_missing,4.6155604476960654e-05
year_idx,0.0
comcol,-5.638059809524402e-05
