feature,perm_importance,block
roll3_log,0.32099146522247485,roll3_log
l1_log,0.1473155062396597,l1_log
ln_gdp_o,0.029166300984001154,ln_gdp_o
zero_streak,0.01759009472705871,zero_streak
ln_gdp_d,0.008237635518152412,ln_gdp_d
ln_pop_o,0.0075862401599536096,ln_pop_o
l2_log,0.005233016820964553,l2_log
ln_pop_d,0.004009907396177089,ln_pop_d
ln_dist,0.0029907272508737184,ln_dist
exporter_TR,0.002359343753861709,exporter (one-hot block)
hs6_580632,0.001730853191486026,hs6 (one-hot block)
exporter_CN,0.000825844897615613,exporter (one-hot block)
exporter_HK,0.000803825731704381,exporter (one-hot block)
hs6_581092,0.0005307908462827138,hs6 (one-hot block)
exporter_VN,0.00044893475552143514,exporter (one-hot block)
exporter_TH,0.0004104321467323091,exporter (one-hot block)
hs6_580610,0.0003657031248528823,hs6 (one-hot block)
comrelig,0.0003393724178742212,comrelig
exporter_TW,0.00028299895037042777,exporter (one-hot block)
destination_PT,0.0002653804359117329,destination (one-hot block)
hs6_580890,0.0002599518558853431,hs6 (one-hot block)
hs6_580430,0.0002436329481032562,hs6 (one-hot block)
hs6_580620,0.00022144866197134258,hs6 (one-hot block)
hs6_580421,0.00020012965272161085,hs6 (one-hot block)
hs6_960629,0.00019429510041905443,hs6 (one-hot block)
hs6_581091,0.0001932762348744547,hs6 (one-hot block)
destination_GR,0.00019010245387844163,destination (one-hot block)
comlang_off,0.0001800763984309469,comlang_off
hs6_960719,0.0001736638610686514,hs6 (one-hot block)
hs6_580410,0.00017108660136174367,hs6 (one-hot block)
hs6_580639,0.00015633331338956355,hs6 (one-hot block)
hs6_580429,0.0001399900617084319,hs6 (one-hot block)
hs6_960630,0.00012817034958978457,hs6 (one-hot block)
exporter_GB,0.00011842919884526755,exporter (one-hot block)
hs6_960622,0.00010933194999795948,hs6 (one-hot block)
hs6_580640,0.00010617472264503232,hs6 (one-hot block)
exporter_IN,0.00010005549120073454,exporter (one-hot block)
hs6_580810,9.363662998396194e-05,hs6 (one-hot block)
hs6_581099,8.880102601656799e-05,hs6 (one-hot block)
destination_LU,8.618687654212327e-05,destination (one-hot block)
destination_PL,8.119544160878345e-05,destination (one-hot block)
destination_FR,6.739118602705485e-05,destination (one-hot block)
exporter_JP,6.279296413787734e-05,exporter (one-hot block)
exporter_KR,5.984377341342976e-05,exporter (one-hot block)
hs6_581010,5.509287613221966e-05,hs6 (one-hot block)
destination_SK,5.149322349984331e-05,destination (one-hot block)
exporter_SG,4.928075979985606e-05,exporter (one-hot block)
exporter_CA,3.802939698701232e-05,exporter (one-hot block)
exporter_IL,3.705194942749124e-05,exporter (one-hot block)
hs6_580631,3.339098350096936e-05,hs6 (one-hot block)
destination_DE,2.8483410659640995e-05,destination (one-hot block)
exporter_UA,2.7493564812427113e-05,exporter (one-hot block)
destination_ES,2.581495313991322e-05,destination (one-hot block)
exporter_LK,2.537429279292347e-05,exporter (one-hot block)
exporter_ZA,2.5294737644491565e-05,exporter (one-hot block)
gdp_o_missing,2.490755077155793e-05,gdp_o_missing
hs6_960610,2.363342481540946e-05,hs6 (one-hot block)
rta,2.3286315175415535e-05,rta
contig,2.1191515641653485e-05,contig
