destination,y_true,y_pred,dev,rel_pct
AT,7091.0,751.7,6339.3,843.3
BE,6362.0,352.5,6009.5,1704.7
BG,703.0,38.5,664.5,1724.3
CY,193.0,16.8,176.2,1052.2
CZ,3477.0,72.2,3404.8,4716.3
DE,150358.0,92897.3,57460.7,61.9
DK,264.0,101.5,162.5,160.2
EE,0.0,8.5,-8.5,-100.0
ES,38823.0,1637.9,37185.1,2270.3
FI,620.0,152.7,467.3,306.1
FR,65287.0,33086.0,32201.0,97.3
GR,0.0,29.8,-29.8,-100.0
HR,0.0,12.0,-12.0,-100.0
HU,225.0,32.3,192.7,597.2
IE,4462.0,358.9,4103.1,1143.1
IT,40416.0,252.9,40163.1,15878.4
LT,0.0,9.9,-9.9,-100.0
LU,822.0,16.7,805.3,4821.4
LV,1517.0,20.4,1496.6,7321.7
MT,171.0,39.2,131.8,335.8
NL,21908.0,896.9,21011.1,2342.7
PL,371809.0,47526.1,324282.9,682.3
PT,119581.0,24582.3,94998.7,386.5
RO,11815695.0,10798880.2,1016814.8,9.4
SE,1214.0,211.1,1002.9,475.0
SI,18.0,10.4,7.6,72.3
SK,187.0,65.7,121.3,184.7
