destination,y_true,y_pred,dev,rel_pct
AT,7091.0,163165.9,-156074.9,-95.7
BE,6362.0,621876.8,-615514.8,-99.0
BG,703.0,188750.2,-188047.2,-99.6
CY,193.0,2589.6,-2396.6,-92.5
CZ,3477.0,209638.6,-206161.6,-98.3
DE,150358.0,1362777.8,-1212419.8,-89.0
DK,264.0,193181.8,-192917.8,-99.9
EE,0.0,51463.1,-51463.1,-100.0
ES,38823.0,1229887.1,-1191064.1,-96.8
FI,620.0,48451.0,-47831.0,-98.7
FR,65287.0,1378571.4,-1313284.4,-95.3
GR,0.0,262970.8,-262970.8,-100.0
HR,0.0,31983.5,-31983.5,-100.0
HU,225.0,187446.2,-187221.2,-99.9
IE,4462.0,35712.5,-31250.5,-87.5
IT,40416.0,2909430.2,-2869014.2,-98.6
LT,0.0,92252.3,-92252.3,-100.0
LU,822.0,1720.3,-898.3,-52.2
LV,1517.0,42293.1,-40776.1,-96.4
MT,171.0,4570.8,-4399.8,-96.3
NL,21908.0,654908.6,-633000.6,-96.7
PL,371809.0,792201.7,-420392.7,-53.1
PT,119581.0,3376473.1,-3256892.1,-96.5
RO,11815695.0,534211.6,11281483.4,2111.8
SE,1214.0,121775.6,-120561.6,-99.0
SI,18.0,59295.9,-59277.9,-100.0
SK,187.0,67014.3,-66827.3,-99.7
