feature,mean_abs_shap,direction_corr,block
roll3_log,1.2506890652284253,0.9844561941529512,roll3_log
l1_log,0.45591690241974586,0.7488499600764946,l1_log
ln_gdp_o,0.3283877914162102,0.8569165720443508,ln_gdp_o
zero_streak,0.3147391281504606,-0.7867087358984237,zero_streak
ln_gdp_d,0.24568295158654183,0.8515849097124741,ln_gdp_d
ln_pop_d,0.14590509598755697,0.8221928305742073,ln_pop_d
ln_dist,0.13533555894705251,-0.8014904148533604,ln_dist
ln_pop_o,0.11356047652881128,0.6870977245081301,ln_pop_o
year_idx,0.06942551460874606,,year_idx
hs6_580632,0.06621461622975598,0.934116046545906,hs6 (one-hot block)
l2_log,0.05834047370205312,0.2612397686049738,l2_log
exporter_TR,0.05758572548861535,0.9702329349620256,exporter (one-hot block)
exporter_CN,0.05482959237898553,0.9664137049461412,exporter (one-hot block)
exporter_HK,0.04826151770981965,0.9529836425279709,exporter (one-hot block)
hs6_580430,0.04727310606044168,-0.9006401385645562,hs6 (one-hot block)
exporter_TW,0.04235037353054479,0.9529646680973912,exporter (one-hot block)
comrelig,0.039689630523607945,-0.4364047234833177,comrelig
hs6_960630,0.03170353062729289,-0.8869564722742487,hs6 (one-hot block)
destination_PT,0.029417418898096008,0.9147933352545202,destination (one-hot block)
hs6_960719,0.024912326110593578,0.8392651569339915,hs6 (one-hot block)
comlang_off,0.023863826047984957,0.8706986661259887,comlang_off
hs6_580640,0.02373096463910117,-0.8476735546400783,hs6 (one-hot block)
hs6_581092,0.0226601722704613,0.8334567905556218,hs6 (one-hot block)
exporter_GB,0.02251256265616407,0.8827952489225098,exporter (one-hot block)
rta,0.0212229578857844,-0.7604231786475072,rta
hs6_580890,0.020080542791295408,0.8133023169161573,hs6 (one-hot block)
exporter_PK,0.019584883729852495,0.8735225644257059,exporter (one-hot block)
exporter_VN,0.019159643360171206,0.906653377521532,exporter (one-hot block)
hs6_580620,0.017690846133731057,0.8227724672149739,hs6 (one-hot block)
hs6_580429,0.01588720072233254,-0.7892461966175345,hs6 (one-hot block)
hs6_960720,0.01576422274706772,0.7871846805739059,hs6 (one-hot block)
destination_FR,0.015437681758664718,0.8199843884174736,destination (one-hot block)
hs6_581091,0.014076354141565158,-0.755981513949305,hs6 (one-hot block)
contig,0.013608157732351179,0.9427387939237104,contig
exporter_TH,0.013194849349324463,0.8664625051906497,exporter (one-hot block)
exporter_CH,0.01213515247993845,0.8708133697140983,exporter (one-hot block)
destination_LU,0.01129079000568333,-0.743148573800433,destination (one-hot block)
exporter_EG,0.010835324377566326,-0.8390082906734457,exporter (one-hot block)
hs6_960629,0.010801967621541298,0.7648921557165439,hs6 (one-hot block)
exporter_KR,0.010556682620255142,0.7486620344220791,exporter (one-hot block)
hs6_580610,0.010401580223391937,0.5703259148187162,hs6 (one-hot block)
destination_PL,0.00996537824113619,-0.8907545609033141,destination (one-hot block)
exporter_BY,0.009866665695256108,-0.943463244691922,exporter (one-hot block)
hs6_580421,0.009677429890698393,-0.4992521820675545,hs6 (one-hot block)
exporter_ZA,0.009098704185639437,-0.6562202430404123,exporter (one-hot block)
hs6_960610,0.008868721356161773,0.6230377970606636,hs6 (one-hot block)
destination_GR,0.00869026627834807,-0.8562968142701679,destination (one-hot block)
destination_BG,0.008442191112289955,0.6032472044885536,destination (one-hot block)
hs6_960621,0.008305760232013825,0.7582866406535937,hs6 (one-hot block)
hs6_581010,0.008093277127362233,-0.1463917328730349,hs6 (one-hot block)
hs6_580631,0.007974001231956017,-0.5756922704611459,hs6 (one-hot block)
hs6_581099,0.00794317150054513,-0.1464495880209094,hs6 (one-hot block)
destination_DK,0.007533093726470402,0.7179596132946132,destination (one-hot block)
exporter_BR,0.007411480513587969,-0.8852373645783698,exporter (one-hot block)
destination_ES,0.007372693194128852,0.5551688998129775,destination (one-hot block)
exporter_UA,0.007318442574949945,0.9342726969540897,exporter (one-hot block)
hs6_580639,0.006275744353738239,0.5003504402685045,hs6 (one-hot block)
destination_IT,0.006183877041127188,-0.5858260185249485,destination (one-hot block)
destination_LT,0.0061728314232700615,0.6914079573828272,destination (one-hot block)
exporter_CA,0.005985785544299018,-0.3393511984343031,exporter (one-hot block)
exporter_JP,0.005969268860589725,-0.6065242946673994,exporter (one-hot block)
destination_HR,0.005767352387294017,-0.6590092795345441,destination (one-hot block)
hs6_960711,0.005750219579861675,-0.0271903005026976,hs6 (one-hot block)
hs6_580810,0.005554353324051281,0.1019310415452614,hs6 (one-hot block)
