model,origin,rmse_eur,mae_eur,rmse_log,mae_log,wape_pct,r2_levels,n,mape_nonzero_pct
RF_lags,O1,126470.09240942514,12141.00162199643,1.8712207772818787,1.0434376924019089,36.231534410666264,0.8928869258088978,25272,370.0026977724477
LGBM_lags,O1,184313.60815950137,16289.451345780353,1.8482377507079994,1.012097896257499,48.611460185973144,0.7724998883016686,25272,423.927117697889
MLP_lags,O1,188540.536968757,19206.13211926794,1.8370728080013128,1.0377851875725286,57.315504802694576,0.7619455570342405,25272,418.26083138819945
LGBM_nolags,O1,265044.7697829769,20427.523617672967,1.9300687323617707,1.1234261536069272,60.960417263885745,0.5295588647920716,25272,400.98377700112235
PPML_B,O1,306413.12188740337,35560.52915046645,5.679864423931993,4.9584882329171265,106.12077781476842,0.37124488449450155,25272,22012.108847433075
RF_nolags,O1,313284.2599331678,23390.89174621329,2.0426956674495274,1.2421489864619755,69.80378765979754,0.3427297681865711,25272,348.20032470090547
PPML_A,O1,378628.97635205294,59848.29843410817,7.510584213195691,6.887238717317934,178.6010538213444,0.039948552450397634,25272,68228.67400439881
MLP_nolags,O1,413114.6313519716,34815.10857078652,1.9962065979533758,1.1306016760461148,103.89627177943761,-0.14289929708089733,25272,1107.0455009167456
RF_lags,O2,213250.1800531487,12446.223330614881,1.8305091703529386,1.0481800114535609,34.80635819240931,0.7823210511246408,25272,536.3832202401426
LGBM_lags,O2,261401.53414090988,14824.323441754292,1.8023964439544813,1.0093385909675325,41.45680966567864,0.6729200800581223,25272,508.5754707559988
MLP_lags,O2,290685.7158307116,18991.58277388141,1.8204312004895553,1.071943307343553,53.11071600672058,0.5955312236789063,25272,795.6462051230208
LGBM_nolags,O2,330653.5552176395,21906.690094348018,1.9632099662032096,1.167705188361307,61.26292948306856,0.4766599014041334,25272,753.4903642095737
PPML_B,O2,375259.8382859766,37645.66663910782,5.703402189390729,4.991704723410797,105.27760290222008,0.32593497633265167,25272,32373.883220207746
RF_nolags,O2,379763.57991633005,24087.449593588517,2.075419637343104,1.3041800859877053,67.3615100922849,0.3096580833234207,25272,732.5840126990174
PPML_A,O2,448956.12027402496,64629.96247348955,7.602719626516549,6.989036845567826,180.74025863579902,0.03518196876870339,25272,100448.54259153237
MLP_nolags,O2,814246.6877816189,46241.76727060762,1.9720366102316471,1.1413940261114979,129.31693995171818,-2.1735812369953225,25272,1327.7720116267967
RF_lags,O3,105911.71400091916,9624.233959316094,1.757293645076686,1.006917841765366,28.155996730035465,0.9329505092668503,25272,811.2180838086639
LGBM_lags,O3,188810.75150316703,12424.385658380728,1.7271008282698783,0.9611685159155362,36.34792789211515,0.7869110485402859,25272,759.9053703961775
MLP_lags,O3,217853.6994466121,17631.91456798019,1.7435995459553932,0.9625598513209086,51.58271619527344,0.7163143491636494,25272,977.9272862386325
LGBM_nolags,O3,280070.65062366304,21183.424784584302,1.9685472245371671,1.1703656772701794,61.97277014326564,0.5311405310441482,25272,1681.4346843406017
PPML_B,O3,318124.80884811934,36780.9988183372,5.763790275760118,5.064786744426857,107.60395963297337,0.3950735583030127,25272,31420.339362185514
RF_nolags,O3,321840.5097333471,21895.100906125823,2.022880832861817,1.2611313284716914,64.05480084157084,0.3808599391119334,25272,568.5974710068283
PPML_A,O3,408683.27433542634,68310.53063736747,7.750774405769991,7.148404372991413,199.84458871045365,0.0016536849978061596,25272,104316.57718509728
MLP_nolags,O3,476026.39254589373,36203.41565015579,1.9102526879565827,1.1145864529682314,105.91422205350634,-0.3544705138202704,25272,3664.2112645053217
RF_lags,pooled,155657.33169300802,11403.819637309134,1.820284957097332,1.032845181873612,33.07059270104202,0.8616891594155569,75816,570.308551707285
LGBM_lags,pooled,214438.62221094576,14512.720148638458,1.793273821379251,0.9942016677135224,42.08627216881141,0.7375037676598621,75816,562.321008401228
MLP_lags,pooled,236294.98078394527,18609.87648704318,1.8008281089792666,1.0240961154123303,53.96785157020634,0.6812677185304067,75816,728.2617189924138
LGBM_nolags,pooled,293268.9737585264,21172.546165535095,1.9540161086228847,1.1538323397461379,61.39948481767095,0.5090363976798862,75816,938.4710723320138
PPML_B,pooled,334620.35278797895,36662.39820263715,5.715794921418547,5.004993233584927,106.31939797049608,0.36082208105851843,75816,28574.060490124622
RF_nolags,pooled,339582.44843638985,23124.480748642545,2.047113343617151,1.2691534669737907,67.06001222252708,0.34172474713570955,75816,549.540508375799
PPML_A,pooled,413095.4362640001,64262.930514988395,7.622001592584095,7.008226645292392,186.35976965854704,0.02586790578528797,75816,90868.89116069992
MLP_nolags,pooled,594492.0783326076,39086.76383051665,1.9598328590002996,1.1288607183752812,113.34995534407157,-1.017479831688994,75816,2017.988597354209
