model,exporter,group,observed_eur,predicted_eur,deviation_eur,relative_deviation_pct
PPML_B,AL,other,918688.0,1197481.6366669044,-278793.63666690444,-23.281662793836613
PPML_B,BA,similar,7729595.0,3882327.3017808218,3847267.6982191782,99.09694364136786
PPML_B,BR,BR,12651203.0,14624613.967570886,-1973410.967570886,-13.493764498309455
PPML_B,BY,other,915250.0,581444.5946272365,333805.4053727635,57.40966696693875
PPML_B,CA,other,3265307.0,2722635.108685977,542671.8913140232,19.93186268636389
PPML_B,CH,other,309701015.0,283902529.2663095,25798485.7336905,9.087092601943926
PPML_B,CN,other,1081450467.0,1002883550.3888571,78566916.61114287,7.834101634300354
PPML_B,EC,similar,4456186.0,4160664.55530075,295521.44469925016,7.102746226507286
PPML_B,EG,similar,3967874.0,6034840.946792744,-2066966.946792744,-34.25056211118948
PPML_B,GB,other,112771460.0,140575157.2190991,-27803697.219099104,-19.778528275635875
PPML_B,HK,other,23014283.0,30413998.126606178,-7399715.126606178,-24.32996508976866
PPML_B,ID,other,28478776.0,40292376.27938907,-11813600.279389068,-29.31969114324024
PPML_B,IL,other,2373533.0,3449434.940609408,-1075901.940609408,-31.190672070461765
PPML_B,IN,other,245921308.0,233345492.60430348,12575815.39569652,5.389354324071736
PPML_B,JP,other,78578559.0,73915342.02167481,4663216.978325188,6.3088620721767805
PPML_B,KH,other,1130331.0,2072961.5779055555,-942630.5779055555,-45.472650721194505
PPML_B,KR,similar,10224806.0,17997982.236569524,-7773176.236569524,-43.18915384178709
PPML_B,LK,other,3100047.0,3193071.6016026447,-93024.60160264466,-2.9133265146937006
PPML_B,MA,other,41014474.0,27587543.124676175,13426930.875323825,48.67026691954263
PPML_B,MG,similar,5785041.0,6402642.530118259,-617601.5301182587,-9.64604110276404
PPML_B,MK,similar,4233922.0,1184705.9220095032,3049216.0779904965,257.38168615029826
PPML_B,MM,similar,6066897.0,6903661.438204648,-836764.438204648,-12.120589135122117
PPML_B,MX,other,2458058.0,1995015.0801251847,463042.91987481527,23.20999597886548
PPML_B,MY,other,1609341.0,3142403.2539605377,-1533062.2539605377,-48.786299213136886
PPML_B,NO,other,1913729.0,2160151.4015956223,-246422.4015956223,-11.407644918481148
PPML_B,PE,other,1523855.0,2467836.8574119266,-943981.8574119266,-38.251388238114764
PPML_B,PH,similar,15057684.0,9552770.656805895,5504913.343194105,57.62635303373598
PPML_B,PK,similar,13623061.0,9945927.072615325,3677133.9273846745,36.97125366532329
PPML_B,SG,other,842510.0,1521581.2924907021,-679071.2924907021,-44.629313980268435
PPML_B,SM,other,3963446.0,3015766.118036008,947679.881963992,31.424183602843858
PPML_B,TH,other,45369145.0,38483260.0476112,6885884.952388801,17.89319549297444
PPML_B,TN,other,24993664.0,32502307.883284975,-7508643.883284975,-23.101879135008932
PPML_B,TR,other,261976548.0,291615583.6900717,-29639035.690071702,-10.163735186927456
PPML_B,TW,other,102578311.0,124790577.95279422,-22212266.952794224,-17.79963464965815
PPML_B,UA,other,1739711.0,1746756.2712334276,-7045.271233427571,-0.403334532095467
